"spelling","lexicality","rt","subtlex.frequency","length","POS","bigram.freq"
"ontgroeid","W",662.7631579,27,9,"WW",184730
"onthaal","W",555.7948718,64,7,"N",149239
"onthaald","W",608.1142857,20,8,"WW",180852
"onthield","W",668.1764706,29,8,"WW",206922
"onthoofd","W",621.5128205,174,8,"WW",149669
"onthoud","W",606,1078,7,"WW",126817
"onthoudt","W",654.8,202,8,"WW",133424
"onthuld","W",619.972973,127,7,"WW",124099
"onthult","W",631.2894737,83,7,"WW",123309
"onthutst","W",727.1515152,10,8,"ADJ",185620
"ontkend","W",597.5405405,70,7,"WW",322983
"ontkent","W",600.0526316,254,7,"WW",298705
"ontkomt","W",682.2962963,97,7,"WW",129916
"ontkwam","W",680.0909091,36,7,"WW",98908
"ontleent","W",638.7105263,5,8,"WW",338179
"ontmoet","W",592.7948718,6036,7,"WW",156077
"ontnam","W",638.7777778,47,6,"WW",95682
"ontneemt","W",623.6,50,8,"WW",173160
"ontplooid","W",663.8648649,3,9,"WW",163889
"ontroerd","W",648.974359,122,8,"WW",306760
"ontrouw","W",599.4102564,198,7,"N",123171
"ontruimd","W",675.5675676,77,8,"WW",152019
"ontslaan","W",579.2702703,828,8,"WW",259948
"ontslag","W",556.7297297,1320,7,"N",134302
"ontsnapt","W",560.5263158,1813,8,"WW",140727
"ontstaan","W",576.7435897,495,8,"WW",300879
"ontstaat","W",642.8378378,193,8,"WW",241386
"ontstak","W",682.3,15,7,"WW",169221
"ontsteld","W",725.8125,43,8,"ADJ",301102
"ontstemd","W",716.5588235,28,8,"WW",250552
"ontstond","W",636.8947368,139,8,"WW",260533
"onttrekt","W",746.6071429,23,8,"WW",198762
"onttrok","W",736.4375,3,7,"WW",128860
"ontucht","W",771.5416667,81,7,"N",168947
"ontvangst","W",580.5135135,306,9,"N",245646
"ontvangt","W",608.7894737,437,8,"WW",179876
"ontving","W",609.0540541,168,7,"WW",164553
"ontvoerd","W",596.3513514,1212,8,"WW",282558
"ontwaakt","W",591.7878788,170,8,"WW",172228
"ontweek","W",664.1714286,33,7,"WW",148268
"ontwerp","W",554.0769231,393,7,"N",217925
"ontwierp","W",610.5128205,64,8,"WW",245659
"ontzag","W",608.9722222,68,6,"N",100275
"ontzegd","W",631.8108108,38,7,"WW",130326
"ontzet","W",571.974359,58,6,"ADJ",136705
"ontzien","W",615.7368421,48,7,"WW",335232
"onvast","W",666.53125,3,6,"ADJ",161917
"onwaar","W",657.3,23,6,"ADJ",148567
"onweer","W",564.7027027,187,6,"N",250202
"onwel","W",636.2647059,87,5,"ADJ",128476
"onyx","W",648.6666667,10,4,"N",51530
"onzer","W",807.5,7,5,"ADJ",211406
"onzin","W",547.7435897,4864,5,"N",178789
"oog","W",545.3589744,2991,3,"N",69984
"oogarts","W",633.8285714,38,7,"N",143100
"ooghoek","W",659.2105263,14,7,"N",117951
"oogje","W",568.2777778,397,5,"N",133907
"oogjes","W",565.2702703,64,6,"N",126202
"ooglid","W",604.4571429,18,6,"N",124609
"oogmerk","W",609.6176471,3,7,"N",213855
"oogpunt","W",576.7714286,54,7,"N",116685
"oogst","W",554.7948718,360,5,"N",157230
"oogsten","W",589.3783784,190,7,"WW",415031
"oogstjaar","W",742.6666667,2,9,"ADJ",217004
"oogstte","W",743,2,7,"WW",268658
"oogwenk","W",666.3611111,63,7,"N",230133
"oom","W",548.9736842,4757,3,"N",66199
"oompje","W",649.5806452,17,6,"N",145563
"ooms","W",617.4848485,149,4,"N",96999
"oor","W",494.4210526,1094,3,"N",98265
"oorbel","W",559.9736842,74,6,"N",160283
"oord","W",607.7297297,167,4,"N",125242
"oordeel","W",564.1282051,705,7,"N",264471
"oordeelt","W",678.5428571,83,8,"WW",295294
"oorden","W",696.875,35,6,"N",389674
"oorlog","W",522.4473684,7826,6,"N",113915
"oorlogs","W",613.2058824,35,7,"N",143461
"oorsprong","W",572.3846154,176,9,"N",212510
"oortje","W",582.9230769,20,6,"N",172303
"oortjes","W",639.2777778,23,7,"N",164598
"oorvijg","W",719.1666667,4,7,"N",125540
"oorzaak","W",533.0789474,584,7,"N",134941
"oosten","W",630.5526316,749,6,"N",403278
"oosters","W",599.3846154,26,7,"ADJ",357427
"oostfront","W",718.0769231,32,9,"N",220447
"oostkant","W",611.1714286,49,8,"N",210119
"oostkust","W",634.9230769,147,8,"N",210275
"oostwaarts","W",667.0857143,103,10,"ADJ",242028
"opa","W",531.4102564,2507,3,"N",47350
"opa's","W",610.027027,74,5,"N",79865
"opaal","W",678.0666667,33,5,"N",107567
"opbloei","W",661.8461538,1,7,"N",98280
"opbouw","W",542.6923077,43,6,"N",60391
"opbrengst","W",593.1794872,146,9,"N",364231
"opdoen","W",611.9166667,106,6,"WW",291247
"opdracht","W",546.0526316,2101,8,"N",168001
"open","W",530.0540541,14765,4,"ADJ",277798
"opent","W",600.1764706,493,5,"WW",254732
"opgaaf","W",758.3333333,2,6,"N",99368
"opgaan","W",596.2222222,152,6,"WW",191922
"opgang","W",590,8,6,"N",121403
"ophef","W",629.7631579,127,5,"N",65689
"opkomst","W",557.1538462,167,7,"N",151096
"opmaak","W",578.8378378,19,6,"N",102831
"opmars","W",636.8108108,34,6,"N",126647
"opoe","W",772.5,27,4,"N",135638
"oppas","W",608.8055556,413,5,"N",93682
"oprecht","W",549.974359,496,7,"ADJ",187244
"oprit","W",568.5405405,172,5,"N",127541
"oproep","W",532.5405405,484,6,"N",106750
"oproer","W",647.0882353,85,6,"N",240001
"opschrift","W",615.7631579,18,9,"N",172410
"opslaan","W",547.1315789,113,7,"WW",217420
"opslag","W",556.8461538,369,6,"N",91774
"opspraak","W",654.9666667,22,8,"N",139583
"opstaan","W",563.4615385,1821,7,"WW",258351
"opstand","W",588.5641026,488,7,"N",222631
"opstel","W",556.8108108,172,6,"N",226961
"optie","W",570.2631579,490,5,"N",170374
"optiek","W",581.0833333,15,6,"N",127409
"opties","W",557.5384615,382,6,"N",162669
"optisch","W",612.4166667,21,7,"ADJ",151689
"optocht","W",615.4871795,127,7,"N",146868
"opus","W",697.1333333,15,4,"N",76603
"opvang","W",575.4358974,77,6,"N",121918
"opwaarts","W",655.2631579,16,8,"ADJ",165341
"opzet","W",554.6666667,691,5,"N",100903
"opzicht","W",563.7692308,174,7,"N",138101
"opzien","W",544.3333333,12,6,"N",299430
"orde","W",569.6842105,2208,4,"N",208521
"order","W",583.6,279,5,"N",287804
"orders","W",647.3888889,1252,6,"N",316978
"oren","W",583.7179487,1887,4,"N",314433
"orgaan","W",579.8974359,107,6,"N",206769
"orgel","W",578.7179487,49,5,"N",171814
"orgels","W",585.4285714,1,6,"N",202388
"orgie","W",628.4,105,5,"N",159765
"orgies","W",658.8275862,8,6,"N",152060
"orka","W",663.6470588,15,4,"N",64954
"orka's","W",641.3513514,33,6,"N",97469
"orkaan","W",563.1842105,351,6,"N",211617
"orkest","W",614.3823529,184,6,"N",198771
"os","W",625.1875,118,2,"N",60932
"ossen","W",618.2142857,22,5,"N",275789
"otter","W",610.5882353,77,5,"N",254972
"otters","W",634.7058824,14,6,"N",284146
"oud","W",515.3333333,8014,3,"ADJ",61745
"oude","W",532.3421053,11953,4,"ADJ",171869
"ouder","W",536.4871795,1970,5,"ADJ",251152
"ouders","W",552.025641,7548,6,"N",280326
"oudheid","W",610.2777778,62,7,"N",107152
"oudje","W",563.4864865,76,5,"N",111764
"oudjes","W",585.2702703,136,6,"N",104059
"oudoom","W",909.6666667,31,6,"N",85644
"ouds","W",603.46875,23,4,"ADJ",73218
"oudste","W",567.8421053,659,6,"ADJ",234411
"oudsten","W",691.59375,18,7,"ADJ",388719
"output","W",657.9,8,6,"N",77736
"ouwe","W",677.90625,3291,4,"ADJ",117567
"ovaal","W",630.1944444,14,5,"N",95886
"oven","W",583.7435897,433,4,"N",280609
"ovens","W",632.8181818,30,5,"N",251925
"pa","W",506.4102564,6833,2,"N",28887
"pa's","W",689.90625,75,4,"N",61402
"paadje","W",748.6,7,6,"N",150363
"paadjes","W",685.8529412,4,7,"N",142658
"paal","W",570.1891892,317,4,"N",89104
"paaltje","W",602.3783784,28,7,"N",169932
"paaltjes","W",671.9189189,6,8,"N",162227
"paar","W",572.9473684,18998,4,"N",112398
"paard","W",519.4473684,3657,5,"N",139375
"paarden","W",547.3157895,2013,7,"N",403807
"paardje","W",554.7027027,77,7,"N",189394
"paardjes","W",594.6410256,6,8,"N",181689
"paars","W",533.5384615,174,5,"ADJ",141572
"paarse","W",583.2051282,181,6,"ADJ",193488
"paartje","W",651.59375,18,7,"N",186436
"paartjes","W",591.6363636,9,8,"N",178731
"pacht","W",646.6206897,23,5,"N",125889
"pachten","W",724.9230769,1,7,"N",383690
"pachter","W",663.04,4,7,"N",308665
"pachters","W",693.96,11,8,"N",337839
"pact","W",654.7419355,109,4,"N",75867
"pacten","W",697.1818182,1,6,"N",333668
"pad","W",561.5128205,1836,3,"N",63412
"padden","W",643.6388889,34,6,"N",331502
"paden","W",613.3947368,141,5,"N",327844
"padje","W",593.1142857,4,5,"N",113431
"padjes","W",601.1666667,1,6,"N",105726
"paf","W",689.0666667,57,3,"ADJ",46064
"paffen","W",645.6774194,9,6,"WW",270411
"pais","W",NA,5,4,"N",83719
"pak","W",601.4210526,13696,3,"WW",43892
"pakhuis","W",581.6944444,254,7,"N",118014
"pakje","W",573.4210526,939,5,"N",115734
"pakjes","W",592.9736842,279,6,"N",108029
"pakken","W",578.9189189,6130,6,"WW",292591
"pakket","W",615.4736842,212,6,"N",123640
"pakt","W",581.8461538,1531,4,"WW",78813
"pakte","W",619.1282051,997,5,"WW",182306
"pakten","W",588.8333333,212,6,"WW",336614
"pal","W",686.4,182,3,"ADJ",52172
"paleis","W",570.5789474,679,6,"N",143878
"palen","W",610.0909091,87,5,"N",296053
"palet","W",632.4594595,10,5,"N",127102
"paling","W",597.2702703,41,6,"N",155953
"pallet","W",640.1818182,8,6,"N",135157
"pallets","W",751.5,8,7,"N",144458
"palm","W",563.8684211,108,4,"N",49243
"palmboom","W",603.4358974,30,8,"N",100136
"pamflet","W",719.4324324,49,7,"N",123043
"pan","W",555.2894737,410,3,"N",138618
"pancake","W",693.5833333,9,7,"N",171388
"pand","W",556.3589744,256,4,"N",139830
"panda","W",584.0789474,42,5,"N",118300
"panda's","W",635.4571429,12,7,"N",150815
"panden","W",626.5128205,23,6,"N",404262
"pandje","W",628.6315789,3,6,"N",189849
"paneel","W",625.7368421,88,6,"N",177367
"panfluit","W",733,3,8,"N",145810
"paniek","W",546.3846154,1743,6,"N",131836
"panisch","W",663.4642857,13,7,"ADJ",156116
"panne","W",644.8235294,51,5,"N",153522
"pannen","W",556.6216216,80,6,"N",307830
"pannes","W",684.75,1,6,"N",145817
"panter","W",640.6153846,67,6,"N",298328
"panties","W",790.2608696,23,7,"N",202880
"pants","W",829.5,8,5,"ADJ",124853
"pantser","W",765.4571429,91,7,"N",256052
"pantsers","W",697.5714286,7,8,"N",285226
"panty","W",656.7837838,80,5,"N",81719
"panty's","W",641.6571429,83,7,"N",116107
"pap","W",574.8648649,5201,3,"N",38557
"papa","W",570.8918919,9764,4,"N",44737
"papa's","W",635.0294118,340,6,"N",77252
"papers","W",677.4642857,5,6,"N",229334
"papier","W",529.4473684,1358,6,"N",221781
"papje","W",652.4444444,7,5,"N",112821
"pappa","W",638.1578947,559,5,"N",49998
"pappa's","W",650.3809524,29,7,"N",82513
"pappen","W",725.4166667,11,6,"WW",280446
"pappie","W",756.5217391,591,6,"N",147759
"pappies","W",807,10,7,"N",140054
"paps","W",619.9166667,252,4,"N",69824
"paraat","W",644.7631579,271,6,"ADJ",164780
"pardon","W",548.8205128,5306,6,"N",188873
"parel","W",599.8205128,132,5,"N",157502
"parels","W",590.2051282,205,6,"N",188076
"paren","W",589.3243243,238,5,"N",318479
"parfum","W",551.5,476,6,"N",60433
"parfums","W",588.1578947,23,7,"N",91233
"paring","W",667.2333333,9,6,"N",165540
"park","W",558.0526316,1350,4,"N",65810
"parken","W",628.2285714,56,6,"N",307130
"parket","W",582.1578947,82,6,"N",138179
"parkiet","W",612.8648649,37,7,"N",150552
"parking","W",566.5789474,86,7,"N",148698
"parool","W",697.1764706,30,6,"N",121710
"part","W",662.2857143,178,4,"N",99499
"parten","W",719.6666667,40,6,"N",357300
"partij","W",564.3947368,989,6,"N",121240
"partner","W",559.3684211,2864,7,"N",231643
"partners","W",603.4864865,764,8,"N",260817
"party","W",578,217,5,"N",65666
"party's","W",661.5263158,24,7,"N",100054
"pasje","W",637.3513514,181,5,"N",116892
"pasjes","W",604.2702703,106,6,"N",109187
"paspoort","W",611.6315789,806,8,"N",157104
"pass","W",773.1428571,184,4,"N",78591
"passeert","W",663.6486486,105,8,"WW",269597
"passen","W",544.1081081,2110,6,"WW",284815
"passend","W",565.8974359,118,7,"WW",286027
"passers","W",770.7083333,1,7,"N",238964
"passes","W",669.4,19,6,"N",122802
"passie","W",552.7894737,646,6,"N",154108
"passief","W",558,50,7,"ADJ",98227
"passies","W",608.3513514,31,7,"N",146403
"past","W",599.0555556,1948,4,"WW",127658
"pasta","W",557.3421053,259,5,"N",109209
"pasta's","W",586.8684211,4,7,"N",141724
"paste","W",641,248,5,"WW",231151
"pastel","W",759.2962963,5,6,"N",224482
"pasten","W",669.8461538,72,6,"WW",385459
"pastoor","W",552.3333333,519,7,"N",183849
"pastoors","W",610.1621622,4,8,"N",213023
"pastor","W",613.4444444,101,6,"N",157004
"patat","W",646.6060606,200,5,"N",110914
"pâté","W",691.7857143,2,4,"N",17643
"patent","W",678.3888889,91,6,"N",313860
"pater","W",580.3428571,474,5,"N",261901
"paters","W",676.3243243,26,6,"N",291075
"pathos","W",842.25,8,6,"N",99465
"patience","W",711.9545455,72,8,"N",325214
"patiënt","W",564.1578947,1404,7,"N",125694
"patje","W",706.1,1,5,"N",129130
"patroon","W",574.3684211,556,7,"N",216065
"patroons","W",670.3125,1,8,"N",187381
"pats","W",701.4,21,4,"N",88426
"pauk","W",761.375,1,4,"N",40313
"pauken","W",731.1111111,6,6,"N",281633
"paus","W",556.7631579,552,4,"N",67078
"pausen","W",636.2758621,12,6,"N",273302
"pauw","W",543.6410256,42,4,"N",36040
"pauwen","W",646.8717949,12,6,"N",271773
"pauze","W",525.6410256,1189,5,"N",109273
"pauzen","W",637.0294118,3,6,"N",263581
"pauzes","W",544.6578947,36,6,"N",101568
"pech","W",554.9230769,882,4,"N",85099
"pedaal","W",570.3243243,39,6,"N",120372
"peddel","W",706.9142857,44,6,"N",188798
"peddels","W",696.8518519,24,7,"N",219372
"pee","W",812.8571429,9,3,"N",140801
"peer","W",529.4358974,87,4,"N",220084
"peertje","W",617.8055556,17,7,"N",294122
"peertjes","W",668.90625,4,8,"N",286417
"pees","W",639.2580645,28,4,"N",133096
"peetoom","W",778.1818182,19,7,"N",150283
"peignoir","W",747.1923077,7,8,"N",109609
"peil","W",583.7368421,75,4,"N",70630
"peilen","W",582.0277778,49,6,"WW",314511
"peinsde","W",691.8181818,3,7,"WW",252494
"peinzen","W",649.6486486,12,7,"WW",330620
"peinzend","W",643.5882353,10,8,"WW",331832
"pek","W",725.6190476,30,3,"N",62062
"pekel","W",709.1111111,8,5,"N",142405
"pelgrim","W",670.2432432,58,7,"N",135183
"pelgrims","W",652.8055556,72,8,"N",165983
"pels","W",623.8333333,34,4,"N",128932
"pelsje","W",708.7027027,1,6,"N",175866
"pelzen","W",699.5714286,34,6,"N",323145
"pen","W",538.3846154,947,3,"N",259335
"pence","W",843.625,52,5,"N",256083
"pendant","W",754.2666667,3,7,"N",325682
"pendel","W",595.2564103,20,6,"N",364002
"pendels","W",579.4571429,2,7,"N",394576
"penis","W",602.2368421,659,5,"N",246849
"pennen","W",560.8461538,113,6,"N",428547
"penning","W",648.5405405,353,7,"N",284281
"penny's","W",632.4,28,7,"N",221878
"pens","W",648.0294118,44,4,"N",230651
"penseel","W",633.9722222,20,7,"N",311672
"pensioen","W",566.1891892,1094,8,"N",452332
"pension","W",624.2777778,122,7,"N",313283
"pensions","W",677.7575758,7,8,"N",284599
"pep","W",699.7222222,52,3,"N",51059
"peper","W",584.7777778,166,5,"N",212662
"pepers","W",667,52,6,"N",241836
"perceel","W",618.1142857,30,7,"N",261636
"percent","W",573.2777778,68,7,"N",363773
"peren","W",584.2894737,71,5,"N",427323
"perfect","W",534.6315789,4555,7,"ADJ",212248
"perk","W",650.4193548,4,4,"N",174654
"perken","W",661.8484848,32,6,"N",415974
"perkjes","W",719.0740741,8,7,"N",238791
"perplex","W",649.1111111,60,7,"ADJ",202280
"perron","W",569.2105263,122,6,"N",292924
"perrons","W",649.1891892,5,7,"N",264240
"pers","W",546.3888889,1618,4,"N",213484
"persen","W",659,410,6,"WW",419708
"persoon","W",554.5135135,4116,7,"N",317911
"persoons","W",626.5,7,8,"N",289227
"perste","W",684.9,16,6,"WW",374677
"pervers","W",659.9473684,203,7,"ADJ",370994
"perzik","W",606.1538462,100,6,"N",181558
"peso","W",674.8888889,55,4,"N",68596
"peso's","W",702.0625,28,6,"N",102773
"pest","W",552.7179487,923,4,"N",155022
"pesten","W",619.5897436,282,6,"WW",412823
"pet","W",547.9736842,577,3,"N",90384
"petten","W",701.8333333,29,6,"N",356120
"peuk","W",629.5,118,4,"N",57636
"peuken","W",650.6176471,52,6,"N",298956
"peukje","W",593.1842105,3,6,"N",129478
"peukjes","W",689.9428571,7,7,"N",121773
"peuter","W",551.3589744,41,6,"N",268947
"peuters","W",623.8974359,15,7,"N",298121
"pezen","W",662.7714286,26,5,"N",275355
"picknick","W",597.5128205,239,8,"N",60049
"picknicks","W",615.4722222,13,9,"N",90366
"piek","W",679.4324324,216,4,"N",83683
"pieken","W",655.6756757,52,6,"N",325003
"piemel","W",590.7631579,107,6,"N",151639
"piemels","W",634.6944444,21,7,"N",182213
"pienter","W",718.2121212,108,7,"ADJ",440666
"piep","W",580.1818182,223,4,"N",72680
"piepen","W",630.8974359,81,6,"WW",309308
"piepend","W",606.3235294,11,7,"WW",310520
"piepklein","W",721.78125,74,9,"ADJ",241390
"piepte","W",668.1176471,16,6,"WW",210344
"pier","W",664.8181818,322,4,"N",205931
"pieren","W",699.2142857,12,6,"N",448944
"pierrot","W",777,31,7,"N",250076
"piertjes","W",870.6818182,1,8,"N",272264
"pietjes","W",791.8421053,2,7,"N",154305
"pigment","W",679.6285714,12,7,"N",265235
"pij","W",610.2,11,3,"N",53356
"pijen","W",704,1,5,"N",284700
"pijl","W",539.0789474,311,4,"N",61677
"pijlen","W",563.5897436,193,6,"N",305558
"pijler","W",592.1142857,12,6,"N",230533
"pijlers","W",603.9487179,14,7,"N",259707
"pijlsnel","W",736.5172414,11,8,"ADJ",142176
"pijltje","W",573.0540541,31,7,"N",142505
"pijltjes","W",599.3684211,36,8,"N",134800
"pijn","W",505.5897436,11639,4,"N",132315
"pijnen","W",619.2647059,42,6,"N",296267
"pijnlijk","W",556.4736842,704,8,"ADJ",126302
"pijnloos","W",589.6842105,98,8,"ADJ",138176
"pijp","W",564.4736842,604,4,"N",57744
"pijpen","W",595.4615385,648,6,"N",294372
"pijper","W",610.4444444,7,6,"N",219347
"pijpje","W",637.2352941,24,6,"N",132008
"pijpjes","W",652.1081081,4,7,"N",124303
"pik","W",624.2894737,1596,3,"WW",37491
"pikant","W",562.6756757,49,6,"ADJ",127346
"pikken","W",603.3055556,719,6,"WW",286190
"pikte","W",612.4,200,5,"WW",175905
"pikten","W",714.9444444,56,6,"WW",330213
"pil","W",535.0769231,411,3,"N",41449
"pilaar","W",641.8888889,41,6,"N",140027
"pillen","W",564.5277778,1225,6,"N",293385
"piloot","W",555.974359,1317,6,"N",117043
"pils","W",604,40,4,"N",72023
"pilsje","W",606.7368421,152,6,"N",118957
"pilsjes","W",670.7297297,24,7,"N",111252
"pin","W",617.6285714,112,3,"N",143738
"pincet","W",664.4117647,39,6,"N",125843
"pinda","W",600.6923077,93,5,"N",123420
"pinda's","W",617.7567568,146,7,"N",155935
"pingpong","W",685.5294118,29,8,"N",176757
"pink","W",618.78125,126,4,"N",81936
"pinken","W",683.3428571,21,6,"N",323256
"pinnen","W",663.9428571,57,6,"WW",312950
"pint","W",602.7368421,65,4,"N",120672
"pinten","W",622.0740741,12,6,"N",378473
"pion","W",598.4864865,139,4,"N",133763
"pions","W",703.3571429,4,5,"N",105079
"piraat","W",596.0512821,280,6,"N",140356
"pis","W",661.8484848,295,3,"N",77979
"pisbloem","W",770.3809524,1,8,"N",107613
"pissen","W",606.8947368,651,6,"WW",292836
"piste","W",655.1666667,111,5,"N",239172
"pisten","W",753.5862069,6,6,"N",393480
"pistes","W",741.7142857,11,6,"N",231467
"pistool","W",543.2820513,4488,7,"N",162986
"pit","W",571.6315789,242,3,"N",77234
"pitje","W",681.3428571,27,5,"N",127239
"pitjes","W",632.6428571,6,6,"N",119534
"pits","W",750.125,13,4,"N",86535
"pitten","W",633.6969697,122,6,"WW",342970
"pittig","W",573.1282051,164,6,"ADJ",113303
"pizza","W",550.025641,1066,5,"N",32184
"pizza's","W",540.2432432,168,7,"N",64699
"plaag","W",595.0512821,368,5,"N",106921
"plaagde","W",606.2894737,50,7,"WW",234480
"plaat","W",620.4411765,598,5,"N",136142
"plaatje","W",623.7692308,401,7,"N",186147
"plaatjes","W",625.3243243,256,8,"N",178442
"plaats","W",550.1052632,9331,6,"N",145443
"plaatsen","W",585.0810811,1994,8,"N",351667
"plaatsing","W",662.1764706,25,9,"N",204463
"plaatsjes","W",704.3243243,8,9,"N",184672
"plaatst","W",623.3684211,161,7,"WW",203143
"plaatste","W",634.974359,122,8,"WW",306636
"plaatsten","W",658.9411765,69,9,"WW",460944
"placht","W",628.7272727,5,6,"WW",145974
"plachten","W",625.625,1,8,"WW",403775
"plafond","W",575.1282051,375,7,"N",171505
"plafonds","W",584.972973,29,8,"N",182978
"plagen","W",566.0285714,237,6,"WW",335877
"plagend","W",595.7894737,4,7,"WW",337089
"plak","W",595.4054054,137,4,"N",63977
"plakband","W",574.0769231,111,8,"N",179997
"plakjes","W",591.4736842,25,7,"N",128114
"plakkaat","W",780.1428571,6,8,"N",161716
"plakken","W",562.3333333,225,7,"WW",312676
"plakte","W",558.1794872,18,6,"WW",202391
"plan","W",505.6923077,6268,4,"N",158703
"planeet","W",584.4615385,2026,7,"N",189478
"plank","W",547.2894737,490,5,"N",96901
"planken","W",559.4594595,176,7,"N",338221
"plankier","W",773.1428571,1,8,"N",275569
"plankje","W",563.6666667,5,7,"N",168743
"plankjes","W",615.8333333,5,8,"N",161038
"plannen","W",559.1578947,2787,7,"N",327915
"planning","W",578.5384615,170,8,"N",183649
"plant","W",581.9210526,511,5,"N",135637
"planten","W",540.7368421,685,7,"N",393438
"planter","W",750.9375,4,7,"N",318413
"planters","W",746.3846154,9,8,"N",347587
"plantje","W",606.0294118,34,7,"N",185642
"plantjes","W",604.6410256,30,8,"N",177937
"plantsoen","W",730.45,2,9,"N",361569
"plantte","W",654.5,30,7,"WW",247065
"plas","W",561.4358974,276,4,"N",90043
"plasje","W",614.8571429,44,6,"N",136977
"plasjes","W",649.8611111,4,7,"N",129272
"plasma","W",638.025641,89,6,"N",75393
"plassen","W",569.8947368,760,7,"WW",304900
"plastic","W",586.7142857,658,7,"ADJ",146939
"plastiek","W",634.0263158,34,8,"N",199811
"plastisch","W",626.9210526,85,9,"ADJ",224091
"plat","W",538.7368421,830,4,"ADJ",99210
"plateau","W",625.1944444,45,7,"N",140636
"plateaus","W",667.1764706,6,8,"N",178287
"platen","W",680.3529412,420,6,"N",357011
"platform","W",615.5428571,124,8,"N",103901
"platforms","W",637.8823529,4,9,"N",134701
"platte","W",640.3243243,156,6,"ADJ",210638
"platvis","W",656.75,2,7,"N",125927
"playboy","W",603.1538462,141,7,"N",55979
"plechtig","W",553.3947368,121,8,"ADJ",179767
"plee","W",665.0322581,297,4,"N",159252
"pleegde","W",615.1025641,453,7,"WW",248354
"pleegden","W",644.8378378,40,8,"WW",402662
"pleegt","W",602,224,6,"WW",142271
"plees","W",697.5,11,5,"N",151547
"plegen","W",654.0540541,1112,6,"WW",350909
"pleidooi","W",623.8205128,72,8,"N",121254
"plein","W",551.4871795,240,5,"N",191370
"pleinen","W",705.8333333,6,7,"N",355322
"pleintje","W",610.6764706,10,8,"N",218309
"pleister","W",608.3157895,105,8,"N",366087
"pleisters","W",665.3947368,55,9,"N",395261
"pleit","W",656.9714286,154,5,"WW",124866
"pleiten","W",586.1764706,145,7,"WW",382667
"pleitte","W",645.7368421,24,7,"WW",236294
"pleitten","W",631.4411765,1,8,"WW",390602
"plek","W",555.3846154,7758,4,"N",80513
"plekjes","W",573.3157895,93,7,"N",144650
"plekke","W",621.2222222,280,6,"N",174904
"plekken","W",606.7368421,825,7,"N",329212
"pletter","W",617.3448276,180,7,"N",299546
"plezier","W",536.9487179,5475,7,"N",248357
"plicht","W",583.4285714,1229,6,"N",147162
"plichten","W",623.0588235,124,8,"N",404963
"ploeg","W",543.7368421,429,5,"N",93407
"ploegbaas","W",609.8611111,31,9,"N",169120
"ploegen","W",585.6578947,104,7,"N",359295
"ploert","W",660.5,55,6,"N",235180
"ploerten","W",820,7,8,"N",492981
"plof","W",641.4117647,17,4,"N",50005
"ploffen","W",618.2222222,16,7,"WW",274352
"plofjes","W",760.6785714,5,7,"N",115491
"plofte","W",632.6410256,7,6,"WW",185173
"plomp","W",608.75,15,5,"N",62847
"plons","W",670.0333333,21,5,"N",118439
"plonsen","W",695.5294118,5,7,"WW",324663
"plonzen","W",687.6756757,2,7,"WW",304824
"plooi","W",558.0540541,25,5,"N",69970
"plooide","W",603.8157895,1,7,"WW",219473
"plooien","W",590.4358974,50,7,"N",325960
"plooitje","W",704.4857143,6,8,"N",172243
"plooitjes","W",674.8484848,6,9,"N",164538
"plop","W",610.6956522,13,4,"N",59563
"ploppen","W",701.1428571,4,7,"WW",301452
"plot","W",665.1764706,102,4,"N",82654
"plots","W",571,509,5,"ADJ",91955
"pluche","W",712.0740741,14,6,"ADJ",157271
"pluchen","W",761.96,4,7,"ADJ",311579
"plug","W",734.4,48,4,"N",48111
"pluggen","W",764.2631579,9,7,"WW",316221
"pluim","W",579.7692308,24,5,"N",61037
"pluimen","W",604.027027,17,7,"N",299361
"pluimpje","W",636.4736842,2,8,"N",140401
"pluimpjes","W",683.5,4,9,"N",132696
"pluis","W",624.2352941,66,5,"ADJ",106491
"pluk","W",654.09375,124,4,"WW",41617
"plukjes","W",624.6756757,7,7,"N",105754
"plukken","W",599.7894737,284,7,"WW",290316
"plukker","W",698,2,7,"N",215291
"plukkers","W",688.3428571,8,8,"N",244465
"plukte","W",592.7631579,27,6,"WW",180031
"plunje","W",796.5714286,5,6,"N",113963
"plussen","W",650.4444444,5,7,"N",283239
"poedel","W",581.6842105,85,6,"N",197288
"poedels","W",613.5,25,7,"N",227862
"poeder","W",534.3513514,269,6,"N",283240
"poeders","W",648.5,14,7,"N",312414
"poëet","W",729.6,22,5,"N",78338
"poef","W",653.6521739,44,4,"N",61294
"poefen","W",619.2,1,6,"N",282765
"poel","W",582.3142857,78,4,"N",110506
"poelen","W",671.9047619,16,6,"N",354387
"poeltje","W",735.0714286,1,7,"N",191334
"poeltjes","W",664.952381,1,8,"N",183629
"poema","W",651.3548387,48,5,"N",74696
"poema's","W",673.3529412,23,7,"N",107211
"poen","W",653.84375,512,4,"N",271483
"poep","W",629.5757576,215,4,"N",63207
"poepen","W",673.8648649,150,6,"WW",299835
"poepie","W",670.875,99,6,"N",167148
"poepje","W",670.6410256,32,6,"N",137471
"poepjes","W",666.1290323,1,7,"N",129766
"poes","W",548.9736842,289,4,"N",109470
"poesje","W",569.5,552,6,"N",156404
"poesjes","W",576.3428571,167,7,"N",148699
